id,name,price,stock
1,Roasted Coffee Cappuccino Sticks #1,641.25,8
2,Sweet Tea Jasmine Pearls #2,484.49,11
3,Light Snack Trail Mix #3,138.99,14
4,Special Drink Sports Drink #4,172.99,17
5,Local Bakery Cinnamon Roll #5,164.50,20
6,Fresh Dairy Greek Yogurt #6,231.49,23
7,Classic Pantry Soy Sauce 1L #7,195.25,26
8,Original Frozen Frozen Pizza #8,116.49,29
9,Salted Produce Garlic Bulb #9,69.25,32
10,Spicy Meat Lamb Chops #10,187.99,35
11,Deluxe Bath Mouthwash #11,150.99,38
12,Imported Clean Floor Wax #12,413.00,41
13,Natural Office Highlighter #13,61.25,44
14,Organic Tech Earphones #14,1559.50,47
15,Premium Pet Cat Food 1kg #15,169.49,50
16,Roasted Coffee Espresso Beans #16,363.00,53
17,Sweet Tea Hibiscus Leaves #17,463.99,56
18,Light Snack Popcorn Bag #18,96.25,59
19,Special Drink Juice Box #19,174.49,62
20,Local Bakery Banana Bread #20,204.50,65
21,Fresh Dairy Cheddar Block #21,259.49,68
22,Classic Pantry Brown Sugar 1kg #22,116.75,71
23,Original Frozen Ice Cream Tub #23,522.99,74
24,Salted Produce Red Apple #24,29.50,77
25,Spicy Meat Turkey Slice #25,1207.75,80
26,Deluxe Bath Deodorant #26,197.00,83
27,Imported Clean Glass Cleaner #27,381.25,86
28,Natural Office Stapler #28,228.50,89
29,Organic Tech Power Bank #29,2248.49,92
30,Premium Pet Pet Treats #30,302.75,95
31,Roasted Coffee Arabica Grounds #31,587.75,98
32,Sweet Tea Green Tea Bags #32,216.50,6
33,Light Snack Beef Jerky #33,226.75,9
34,Special Drink Coconut Water #34,121.99,12
35,Local Bakery Muffin #35,27.25,15
36,Fresh Dairy Mozzarella Ball #36,281.75,18
37,Classic Pantry Iodized Salt #37,279.99,21
38,Original Frozen Frozen Berries #38,423.00,24
39,Salted Produce Banana Bunch #39,58.50,27
40,Spicy Meat Pork Belly #40,373.75,30
41,Deluxe Bath Hand Sanitizer #41,87.99,33
42,Imported Clean Trash Bags #42,411.25,36
43,Natural Office Tape Roll #43,18.50,39
44,Organic Tech HDMI Cable #44,2395.49,42
45,Premium Pet Cat Litter #45,571.75,45
46,Roasted Coffee Cold Brew Concentrate #46,318.99,48
47,Sweet Tea Black Tea Loose #47,377.75,51
48,Light Snack Potato Chips #48,167.25,54
49,Special Drink Lemonade Bottle #49,93.49,57
50,Local Bakery Bagel #50,52.00,60
51,Fresh Dairy Butter Stick #51,100.50,63
52,Classic Pantry Black Pepper #52,427.75,66
53,Original Frozen French Fries #53,520.75,69
54,Salted Produce Cavendish #54,29.75,72
55,Spicy Meat Chicken Breast #55,1358.00,75
56,Deluxe Bath Bar Soap #56,340.75,78
57,Imported Clean Sponge Pack #57,279.25,81
58,Natural Office Eraser #58,218.75,84
59,Organic Tech Wireless Mouse #59,1855.99,87
60,Premium Pet Dog Toy #60,354.99,90
61,Roasted Coffee Instant Sachets #61,231.75,93
62,Sweet Tea Chamomile Pouch #62,477.00,96
63,Light Snack Tortilla Chips #63,61.49,99
64,Special Drink Mineral Water 500ml #64,81.75,7
65,Local Bakery Donut #65,77.50,10
66,Fresh Dairy Cream Cheese #66,364.00,13
67,Classic Pantry Vinegar Bottle #67,31.00,16
68,Original Frozen Chicken Nuggets #68,90.25,19
69,Salted Produce Green Lettuce #69,139.99,22
70,Spicy Meat Ground Beef #70,1172.49,25
71,Deluxe Bath Shampoo 200ml #71,218.99,28
72,Imported Clean Laundry Pod #72,62.99,31
73,Natural Office Marker Pen #73,80.25,34
74,Organic Tech Keyboard #74,2069.75,37
75,Premium Pet Pet Shampoo #75,41.50,40
76,Roasted Coffee Decaf Pods #76,313.25,43
77,Sweet Tea Matcha Powder #77,289.00,46
78,Light Snack Pretzel Sticks #78,190.75,49
79,Special Drink Soda Can 330ml #79,42.99,52
80,Local Bakery Sourdough Loaf #80,95.00,55
81,Fresh Dairy Whipping Cream #81,268.99,58
82,Classic Pantry Tomato Sauce #82,103.50,61
83,Original Frozen Fish Fillet #83,111.99,64
84,Salted Produce Cherry Tomato #84,131.50,67
85,Spicy Meat Bacon Strips #85,611.00,70
86,Deluxe Bath Conditioner 200ml #86,272.50,73
87,Imported Clean Dish Soap #87,260.75,76
88,Natural Office Ballpen Black #88,145.99,79
89,Organic Tech Webcam #89,1881.50,82
90,Premium Pet Aquarium Pellets #90,742.50,85
91,Roasted Coffee Mocha Mix #91,487.49,88
92,Sweet Tea Oolong Tin #92,354.50,91
93,Light Snack Cheese Crackers #93,163.00,94
94,Special Drink Iced Tea Bottle #94,21.75,97
95,Local Bakery Baguette #95,144.50,5
96,Fresh Dairy Whole Milk 1L #96,132.25,8
97,Classic Pantry Pasta 500g #97,483.49,11
98,Original Frozen Veggie Mix #98,577.50,14
99,Salted Produce Carrot Pack #99,164.75,17
100,Spicy Meat Pork Loin #100,1471.00,20
101,Deluxe Bath Body Wash #101,194.00,23
102,Imported Clean All-Purpose Spray #102,309.50,26
103,Natural Office Notebook A5 #103,95.99,29
104,Organic Tech USB-C Cable #104,554.49,32
105,Premium Pet Bird Seed #105,51.75,35
106,Roasted Coffee Latte Powder #106,223.00,38
107,Sweet Tea Earl Grey Box #107,437.99,41
108,Light Snack Granola Bar #108,232.00,44
109,Special Drink Energy Drink #109,40.25,47
110,Local Bakery Croissant #110,63.50,50
111,Fresh Dairy Skim Milk 1L #111,340.75,53
112,Classic Pantry Olive Oil 500ml #112,463.75,56
113,Original Frozen Frozen Dumplings #113,336.99,59
114,Salted Produce Sweet Onion #114,44.25,62
115,Spicy Meat Sausage Pack #115,1281.25,65
116,Deluxe Bath Toothpaste #116,331.49,68
117,Imported Clean Bleach Bottle #117,145.75,71
118,Natural Office Sticky Notes #118,35.00,74
119,Organic Tech Phone Charger #119,1183.99,77
120,Premium Pet Dog Food 1kg #120,708.25,80
121,Roasted Coffee Cappuccino Sticks #121,624.50,83
122,Sweet Tea Jasmine Pearls #122,53.75,86
123,Light Snack Trail Mix #123,101.00,89
124,Special Drink Sports Drink #124,33.50,92
125,Local Bakery Cinnamon Roll #125,120.49,95
126,Fresh Dairy Greek Yogurt #126,129.50,98
127,Classic Pantry Soy Sauce 1L #127,255.99,6
128,Original Frozen Frozen Pizza #128,638.99,9
129,Salted Produce Garlic Bulb #129,90.00,12
130,Spicy Meat Lamb Chops #130,570.25,15
131,Deluxe Bath Mouthwash #131,292.50,18
132,Imported Clean Floor Wax #132,407.50,21
133,Natural Office Highlighter #133,114.00,24
134,Organic Tech Earphones #134,2147.49,27
135,Premium Pet Cat Food 1kg #135,801.49,30
136,Roasted Coffee Espresso Beans #136,140.75,33
137,Sweet Tea Hibiscus Leaves #137,387.00,36
138,Light Snack Popcorn Bag #138,126.75,39
139,Special Drink Juice Box #139,39.25,42
140,Local Bakery Banana Bread #140,86.99,45
141,Fresh Dairy Cheddar Block #141,93.50,48
142,Classic Pantry Brown Sugar 1kg #142,366.50,51
143,Original Frozen Ice Cream Tub #143,374.99,54
144,Salted Produce Red Apple #144,70.49,57
145,Spicy Meat Turkey Slice #145,501.99,60
146,Deluxe Bath Deodorant #146,160.50,63
147,Imported Clean Glass Cleaner #147,156.75,66
148,Natural Office Stapler #148,241.49,69
149,Organic Tech Power Bank #149,820.75,72
150,Premium Pet Pet Treats #150,513.75,75
151,Roasted Coffee Arabica Grounds #151,280.50,78
152,Sweet Tea Green Tea Bags #152,497.49,81
153,Light Snack Beef Jerky #153,79.50,84
154,Special Drink Coconut Water #154,158.99,87
155,Local Bakery Muffin #155,110.49,90
156,Fresh Dairy Mozzarella Ball #156,119.49,93
157,Classic Pantry Iodized Salt #157,227.50,96
158,Original Frozen Frozen Berries #158,105.25,99
159,Salted Produce Banana Bunch #159,52.25,7
160,Spicy Meat Pork Belly #160,1477.50,10
161,Deluxe Bath Hand Sanitizer #161,318.49,13
162,Imported Clean Trash Bags #162,328.99,16
163,Natural Office Tape Roll #163,159.49,19
164,Organic Tech HDMI Cable #164,970.49,22
165,Premium Pet Cat Litter #165,447.25,25
166,Roasted Coffee Cold Brew Concentrate #166,426.50,28
167,Sweet Tea Black Tea Loose #167,404.00,31
168,Light Snack Potato Chips #168,131.25,34
169,Special Drink Lemonade Bottle #169,150.50,37
170,Local Bakery Bagel #170,177.75,40
171,Fresh Dairy Butter Stick #171,228.00,43
172,Classic Pantry Black Pepper #172,133.50,46
173,Original Frozen French Fries #173,100.99,49
174,Salted Produce Cavendish #174,107.50,52
175,Spicy Meat Chicken Breast #175,550.49,55
176,Deluxe Bath Bar Soap #176,263.99,58
177,Imported Clean Sponge Pack #177,315.75,61
178,Natural Office Eraser #178,44.00,64
179,Organic Tech Wireless Mouse #179,678.99,67
180,Premium Pet Dog Toy #180,234.25,70
181,Roasted Coffee Instant Sachets #181,458.49,73
182,Sweet Tea Chamomile Pouch #182,218.00,76
183,Light Snack Tortilla Chips #183,139.99,79
184,Special Drink Mineral Water 500ml #184,35.99,82
185,Local Bakery Donut #185,131.50,85
186,Fresh Dairy Cream Cheese #186,69.49,88
187,Classic Pantry Vinegar Bottle #187,405.49,91
188,Original Frozen Chicken Nuggets #188,506.00,94
189,Salted Produce Green Lettuce #189,178.49,97
190,Spicy Meat Ground Beef #190,762.25,5
191,Deluxe Bath Shampoo 200ml #191,186.99,8
192,Imported Clean Laundry Pod #192,233.99,11
193,Natural Office Marker Pen #193,48.00,14
194,Organic Tech Keyboard #194,2058.50,17
195,Premium Pet Pet Shampoo #195,685.50,20
196,Roasted Coffee Decaf Pods #196,328.25,23
197,Sweet Tea Matcha Powder #197,188.49,26
198,Light Snack Pretzel Sticks #198,226.00,29
199,Special Drink Soda Can 330ml #199,148.50,32
200,Local Bakery Sourdough Loaf #200,192.25,35
201,Fresh Dairy Whipping Cream #201,283.50,38
202,Classic Pantry Tomato Sauce #202,140.00,41
203,Original Frozen Fish Fillet #203,268.50,44
204,Salted Produce Cherry Tomato #204,161.49,47
205,Spicy Meat Bacon Strips #205,262.49,50
206,Deluxe Bath Conditioner 200ml #206,272.75,53
207,Imported Clean Dish Soap #207,315.00,56
208,Natural Office Ballpen Black #208,53.00,59
209,Organic Tech Webcam #209,818.25,62
210,Premium Pet Aquarium Pellets #210,865.50,65
211,Roasted Coffee Mocha Mix #211,198.99,68
212,Sweet Tea Oolong Tin #212,68.00,71
213,Light Snack Cheese Crackers #213,74.75,74
214,Special Drink Iced Tea Bottle #214,95.00,77
215,Local Bakery Baguette #215,193.75,80
216,Fresh Dairy Whole Milk 1L #216,122.49,83
217,Classic Pantry Pasta 500g #217,115.75,86
218,Original Frozen Veggie Mix #218,105.00,89
219,Salted Produce Carrot Pack #219,25.00,92
220,Spicy Meat Pork Loin #220,1032.00,95
221,Deluxe Bath Body Wash #221,197.25,98
222,Imported Clean All-Purpose Spray #222,94.75,6
223,Natural Office Notebook A5 #223,32.75,9
224,Organic Tech USB-C Cable #224,1801.00,12
225,Premium Pet Bird Seed #225,789.50,15
226,Roasted Coffee Latte Powder #226,297.75,18
227,Sweet Tea Earl Grey Box #227,493.99,21
228,Light Snack Granola Bar #228,210.75,24
